3500,2000,0
5000,1500,0
2000,2500,0
2000,1000,0
4000,0,0
4500,3000,0
2500,1500,0
2000,1500,0
0,4500,0
2500,1500,0
1500,500,0
1500,4000,0
4500,1500,0
0,1500,0
3500,3000,0
500,2000,0
3500,3000,0
2500,500,0
2500,1500,0
0,0,0
4000,1500,0
500,5000,0
2500,1500,0
2000,3000,0
5000,3000,0
2000,500,0
4500,3000,0
1000,1500,0
500,2000,0
5000,1500,0
3000,500,0
1500,2000,0
0,1500,0
2000,3000,0
5000,4500,0
1000,500,0
2000,500,0
1500,3500,0
4000,5000,0
500,1500,0
0,3500,0
0,0,0
0,2000,0
1000,2500,0
3500,4000,0
4500,3500,0
1000,5000,0
4000,4500,0
0,4500,0
1000,4000,0
4500,2500,0
4000,3000,0
500,4500,0
1500,2000,0
3000,1500,0
0,1500,0
2500,0,0
2000,4500,0
4500,1500,0
0,4500,0
3000,1500,0
3500,2500,0
5000,2500,0
3000,1000,0
4500,5000,0
2000,2000,0
0,1500,0
0,5000,0
1000,0,0
500,500,0
4500,500,0
3000,2000,0
4500,5000,0
2500,4500,0
2000,2500,0
2500,3500,0
500,1000,0
5000,3000,0
2500,2000,0
3500,500,0
1000,4500,0
4000,1000,0
3000,500,0
5000,3000,0
4500,2000,0
2500,3500,0
1000,4000,0
5000,500,0
2000,4500,0
1500,4000,0
500,4500,0
500,2500,0
1000,0,0
0,0,0
2000,0,0
4500,2500,0
500,2500,0
1000,2500,0
1000,4500,0
2000,5000,0
